Reporting Area,MMWR Year,MMWR Week,"Lyme disease, Current week","Lyme disease, Current week, flag","Lyme disease, Previous 52 weeks Med","Lyme disease, Previous 52 weeks Med, flag","Lyme disease, Previous 52 weeks Max","Lyme disease, Previous 52 weeks Max, flag","Lyme disease, Cum 2014","Lyme disease, Cum 2014, flag","Lyme disease, Cum 2013","Lyme disease, Cum 2013, flag","Malaria, Current week","Malaria, Current week, flag","Malaria, Previous 52 weeks Med","Malaria, Previous 52 weeks Med, flag","Malaria, Previous 52 weeks Max","Malaria, Previous 52 weeks Max, flag","Malaria, Cum 2014","Malaria, Cum 2014, flag","Malaria, Cum 2013","Malaria, Cum 2013, flag","Meningococcal disease, invasive†, All serogroups, Current week","Meningococcal disease, invasive†, All serogroups, Current week, flag","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Med","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Med, flag","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Max","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Max, flag","Meningococcal disease, invasive†, All serogroups, Cum 2014","Meningococcal disease, invasive†, All serogroups, Cum 2014, flag","Meningococcal disease, invasive†, All serogroups, Cum 2013","Meningococcal disease, invasive†, All serogroups, Cum 2013, flag",Location 1,Location 2
CALIFORNIA,2014,26,,-,0,,8,,4,,45,,,-,2,,5,,27,,40,,1,,2,,6,,37,,59,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
HAWAII,2014,26,,N,0,,0,,,N,,N,,-,0,,0,,,-,1,,,-,0,,1,,1,,1,,"HAWAII
(21.30485166200043, -157.85774691599974)",
OREGON,2014,26,,-,1,,4,,31,,18,,,-,0,,1,,6,,4,,,-,0,,3,,12,,7,,"OREGON
(44.567446178000466, -120.15502977999972)",
WASHINGTON,2014,26,,-,0,,4,,,-,2,,1,,0,,3,,14,,8,,,-,0,,5,,8,,8,,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
AMER. SAMOA,2014,26,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
C.N.M.I.,2014,26,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
GUAM,2014,26,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,1,,"GUAM
(13.355173397000442, 144.70297250000056)",
PUERTO RICO,2014,26,,N,0,,0,,,N,,N,,-,0,,1,,1,,,-,,-,0,,1,,1,,1,,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
VIRGIN ISL.,2014,26,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
UNITED STATES,2014,27,363,,406,,2486,,6963,,13023,,23,,25,,51,,569,,713,,2,,8,,24,,241,,338,,,
NEW ENGLAND,2014,27,19,,98,,1003,,1812,,5243,,,-,1,,9,,25,,56,,,-,0,,3,,8,,13,,,
CONNECTICUT,2014,27,14,,26,,252,,502,,1374,,,-,0,,3,,,-,13,,,-,0,,1,,1,,2,,"CONNECTICUT
(41.56266101800048, -72.64983753699966)",
MAINE,2014,27,,-,14,,102,,202,,325,,,-,0,,2,,3,,2,,,-,0,,1,,,-,2,,"MAINE
(45.2542257390005, -68.98502952999962)",
MASSACHUSETTS,2014,27,1,,38,,484,,778,,2416,,,-,1,,4,,17,,35,,,-,0,,3,,6,,4,,"MASSACHUSETTS
(42.27687014100047, -72.08268985899963)",
NEW HAMPSHIRE,2014,27,,-,4,,164,,42,,779,,,-,0,,2,,2,,6,,,-,0,,0,,,-,2,,"NEW HAMPSHIRE
(43.65595081000049, -71.50035726399966)",
RHODE ISLAND,2014,27,,-,9,,54,,162,,172,,,-,0,,8,,3,,,-,,-,0,,1,,1,,1,,"RHODE ISLAND
(41.708284362000484, -71.52246918099962)",
VERMONT,2014,27,4,,9,,103,,126,,177,,,-,0,,3,,,-,,-,,-,0,,1,,,-,2,,"VERMONT
(43.62538000100045, -72.51763944499965)",
MID. ATLANTIC,2014,27,300,,179,,907,,3915,,4337,,8,,7,,21,,148,,175,,,-,1,,3,,24,,48,,,
NEW JERSEY,2014,27,,-,39,,234,,769,,1751,,,-,1,,6,,27,,48,,,-,0,,2,,4,,10,,"NEW JERSEY
(40.13057159500045, -74.27368565099965)",
NEW YORK,2014,27,114,,49,,244,,793,,662,,1,,1,,5,,23,,25,,,-,0,,3,,5,,11,,"NEW YORK
(42.82700178100049, -75.54396639699968)",
NEW YORK CITY,2014,27,1,,5,,441,,483,,202,,5,,3,,13,,74,,66,,,-,0,,2,,8,,11,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
PENNSYLVANIA,2014,27,185,,61,,433,,1870,,1722,,2,,1,,5,,24,,36,,,-,0,,2,,7,,16,,"PENNSYLVANIA
(40.79373260300048, -77.86069775999965)",
E.N. CENTRAL,2014,27,1,,14,,235,,277,,1089,,,-,2,,8,,50,,70,,,-,1,,4,,27,,35,,,
ILLINOIS,2014,27,,-,1,,28,,37,,178,,,-,1,,5,,13,,35,,,-,0,,2,,8,,5,,"ILLINOIS
(40.48501433000047, -88.99770813999965)",
INDIANA,2014,27,,-,0,,9,,,-,65,,,-,0,,2,,4,,9,,,-,0,,1,,3,,11,,"INDIANA
(39.76691072200049, -86.14995579899966)",
MICHIGAN,2014,27,,-,2,,16,,19,,25,,,-,0,,2,,8,,9,,,-,0,,1,,6,,3,,"MICHIGAN
(44.66132176400049, -84.71438724399968)",
OHIO,2014,27,1,,1,,7,,24,,31,,,-,1,,3,,21,,11,,,-,0,,2,,6,,6,,"OHIO
(40.06021184000048, -82.40425685299965)",
WISCONSIN,2014,27,,-,10,,196,,197,,790,,,-,0,,2,,4,,6,,,-,0,,1,,4,,10,,"WISCONSIN
(44.393191877000504, -89.81636715299965)",
W.N. CENTRAL,2014,27,,-,7,,245,,55,,959,,1,,1,,7,,29,,49,,,-,0,,3,,16,,28,,,
IOWA,2014,27,,-,1,,21,,38,,147,,,-,0,,2,,5,,4,,,-,0,,1,,1,,1,,"IOWA
(42.469401477000474, -93.81648936699969)",
KANSAS,2014,27,,-,0,,4,,4,,12,,,-,0,,2,,6,,5,,,-,0,,1,,1,,3,,"KANSAS
(38.3477418760005, -98.20077655499966)",
MINNESOTA,2014,27,,-,4,,217,,3,,792,,,-,0,,5,,2,,34,,,-,0,,2,,4,,9,,"MINNESOTA
(46.35564575300049, -94.79419697699967)",
MISSOURI,2014,27,,-,0,,1,,3,,,-,,-,0,,1,,8,,1,,,-,0,,2,,7,,6,,"MISSOURI
(38.63579079900046, -92.56629737199967)",
NEBRASKA,2014,27,,-,0,,3,,3,,1,,,-,0,,2,,1,,1,,,-,0,,1,,,-,3,,"NEBRASKA
(41.641041981000456, -99.36571864599966)",
NORTH DAKOTA,2014,27,,-,0,,6,,4,,6,,1,,0,,1,,5,,2,,,-,0,,1,,1,,2,,"NORTH DAKOTA
(47.47531892900048, -100.11842599699969)",
SOUTH DAKOTA,2014,27,,-,0,,1,,,-,1,,,-,0,,3,,2,,2,,,-,0,,1,,2,,4,,"SOUTH DAKOTA
(44.35313049600046, -100.37352811899967)",
S. ATLANTIC,2014,27,39,,46,,309,,777,,1232,,12,,7,,18,,202,,196,,,-,1,,6,,59,,62,,,
DELAWARE,2014,27,3,,8,,24,,166,,213,,,-,0,,1,,1,,5,,,-,0,,1,,1,,2,,"DELAWARE
(39.00883059000046, -75.57773943699965)",
DIST. OF COL.,2014,27,,N,0,,0,,,N,,N,,-,0,,2,,3,,11,,,-,0,,0,,,-,,-,"DIST. OF COL.
",
FLORIDA,2014,27,5,,2,,14,,35,,32,,3,,1,,3,,25,,30,,,-,1,,3,,27,,34,,"FLORIDA
(28.93204444200046, -81.92895558499964)",
GEORGIA,2014,27,,-,0,,3,,3,,4,,,-,1,,5,,37,,32,,,-,0,,2,,9,,7,,"GEORGIA
(32.83968158500045, -83.62757601199968)",
MARYLAND,2014,27,8,,16,,81,,281,,530,,8,,2,,10,,80,,68,,,-,0,,1,,4,,2,,"MARYLAND
(39.29058224000045, -76.60925970899967)",
NORTH CAROLINA,2014,27,1,,1,,27,,43,,49,,,-,0,,7,,19,,9,,,-,0,,3,,11,,9,,"NORTH CAROLINA
(35.46622096200048, -79.15924924699965)",
SOUTH CAROLINA,2014,27,,-,0,,5,,8,,9,,,-,0,,2,,2,,5,,,-,0,,1,,2,,2,,"SOUTH CAROLINA
(33.99882214300044, -81.04536765699964)",
VIRGINIA,2014,27,22,,14,,267,,229,,343,,1,,1,,5,,35,,35,,,-,0,,2,,5,,4,,"VIRGINIA
(37.542682294000485, -78.45788924199968)",
WEST VIRGINIA,2014,27,,-,1,,23,,12,,52,,,-,0,,1,,,-,1,,,-,0,,0,,,-,2,,"WEST VIRGINIA
(38.66551303900047, -80.71263935099967)",
E.S. CENTRAL,2014,27,2,,2,,9,,62,,27,,,-,1,,4,,23,,17,,,-,0,,2,,9,,8,,,
ALABAMA,2014,27,,-,0,,5,,23,,10,,,-,0,,1,,5,,2,,,-,0,,1,,3,,1,,"ALABAMA
(32.84057034900047, -86.63185803899967)",
KENTUCKY,2014,27,1,,0,,9,,25,,12,,,-,0,,2,,8,,5,,,-,0,,1,,2,,1,,"KENTUCKY
(37.645970985000474, -84.77496612599964)",
MISSISSIPPI,2014,27,,-,0,,0,,,-,,-,,-,0,,1,,1,,1,,,-,0,,1,,,-,3,,"MISSISSIPPI
(32.745512774000474, -89.53802764499966)",
TENNESSEE,2014,27,1,,0,,4,,14,,5,,,-,0,,3,,9,,9,,,-,0,,1,,4,,3,,"TENNESSEE
(35.68094014000047, -85.77448642199965)",
W.S. CENTRAL,2014,27,2,,0,,13,,5,,30,,,-,1,,21,,23,,49,,2,,1,,6,,25,,34,,,
ARKANSAS,2014,27,,-,0,,0,,,-,,-,,-,0,,1,,2,,1,,,-,0,,1,,1,,5,,"ARKANSAS
(34.74865329300047, -92.27448794899965)",
LOUISIANA,2014,27,,-,0,,1,,1,,,-,,-,0,,1,,2,,4,,,-,0,,2,,3,,8,,"LOUISIANA
(31.312664106000454, -92.44567554599968)",
OKLAHOMA,2014,27,,-,0,,2,,,-,1,,,-,0,,2,,1,,7,,2,,0,,2,,8,,5,,"OKLAHOMA
(35.472031425000466, -97.52106845499969)",
TEXAS,2014,27,2,,0,,11,,4,,29,,,-,1,,19,,18,,37,,,-,0,,5,,13,,16,,"TEXAS
(31.827240712000446, -99.4267664729997)",
MOUNTAIN,2014,27,,-,1,,9,,16,,29,,1,,1,,5,,19,,44,,,-,0,,2,,14,,28,,,
ARIZONA,2014,27,,-,0,,3,,3,,6,,,-,0,,3,,8,,21,,,-,0,,2,,3,,10,,"ARIZONA
(34.865970167000455, -111.76380949799972)",
COLORADO,2014,27,,-,0,,0,,,-,,-,,-,0,,3,,6,,14,,,-,0,,1,,1,,5,,"COLORADO
(38.84384201300048, -106.13360888799969)",
IDAHO,2014,27,,-,0,,2,,6,,7,,1,,0,,1,,1,,2,,,-,0,,1,,2,,4,,"IDAHO
(43.68263160000049, -114.3637261449997)",
MONTANA,2014,27,,-,0,,3,,3,,5,,,-,0,,0,,,-,,-,,-,0,,1,,3,,,-,"MONTANA
(47.06652759400049, -109.42441687999968)",
NEVADA,2014,27,,-,0,,1,,2,,2,,,-,0,,1,,3,,3,,,-,0,,1,,2,,1,,"NEVADA
(39.493242807000456, -117.07183978499972)",
NEW MEXICO,2014,27,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,2,,1,,"NEW MEXICO
(34.520884020000494, -106.24057768899968)",
UTAH,2014,27,,-,0,,2,,2,,8,,,-,0,,1,,1,,4,,,-,0,,1,,1,,6,,"UTAH
(39.36070082200047, -111.5871285339997)",
WYOMING,2014,27,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,"WYOMING
(43.235543013000495, -108.10982744299969)",
PACIFIC,2014,27,,-,3,,10,,44,,77,,1,,3,,9,,50,,57,,,-,2,,7,,59,,82,,,
ALASKA,2014,27,,-,0,,2,,8,,4,,,-,0,,1,,1,,2,,,-,0,,0,,,-,,-,"ALASKA
(64.84507631500048, -147.72205669099972)",
CALIFORNIA,2014,27,,-,0,,8,,4,,50,,,-,2,,5,,28,,42,,,-,2,,6,,38,,65,,"CALIFORNIA
(37.63864203100047, -120.99999889499969)",
HAWAII,2014,27,,N,0,,0,,,N,,N,,-,0,,0,,,-,1,,,-,0,,1,,1,,1,,"HAWAII
(21.304853205000427, -157.85774691599974)",
OREGON,2014,27,,-,1,,4,,32,,19,,,-,0,,1,,6,,4,,,-,0,,3,,12,,8,,"OREGON
(44.56745218600048, -120.15502977999972)",
WASHINGTON,2014,27,,-,0,,4,,,-,4,,1,,0,,3,,15,,8,,,-,0,,5,,8,,8,,"WASHINGTON
(47.5222894470005, -120.47002746299972)",
AMER. SAMOA,2014,27,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2014,27,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
GUAM,2014,27,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,1,,"GUAM
(13.480998894000436, 144.73149801400064)",
PUERTO RICO,2014,27,,N,0,,0,,,N,,N,,-,0,,1,,1,,,-,,-,0,,1,,1,,1,,"PUERTO RICO
(18.24828934900046, -66.49988980099965)",
VIRGIN ISL.,2014,27,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
UNITED STATES,2014,28,509,,406,,2486,,7930,,15289,,14,,25,,51,,595,,761,,1,,8,,24,,243,,343,,,
NEW ENGLAND,2014,28,24,,101,,998,,1907,,6084,,1,,1,,9,,26,,65,,,-,0,,3,,8,,13,,,
CONNECTICUT,2014,28,10,,26,,252,,565,,1566,,,-,0,,3,,,-,16,,,-,0,,1,,1,,2,,"CONNECTICUT
(41.56266101800048, -72.64983753699966)",
MAINE,2014,28,3,,13,,102,,215,,418,,1,,0,,2,,4,,2,,,-,0,,1,,,-,2,,"MAINE
(45.2542257390005, -68.98502952999962)",
MASSACHUSETTS,2014,28,,-,35,,411,,778,,2790,,,-,1,,4,,17,,38,,,-,0,,3,,6,,4,,"MASSACHUSETTS
(42.27687014100047, -72.08268985899963)",
NEW HAMPSHIRE,2014,28,,-,3,,157,,42,,882,,,-,0,,2,,2,,6,,,-,0,,0,,,-,2,,"NEW HAMPSHIRE
(43.65595081000049, -71.50035726399966)",
RHODE ISLAND,2014,28,,-,9,,54,,162,,204,,,-,0,,8,,3,,,-,,-,0,,1,,1,,1,,"RHODE ISLAND
(41.708284362000484, -71.52246918099962)",
VERMONT,2014,28,11,,9,,103,,145,,224,,,-,0,,3,,,-,3,,,-,0,,1,,,-,2,,"VERMONT
(43.62538000100045, -72.51763944499965)",
MID. ATLANTIC,2014,28,430,,179,,907,,4597,,5179,,5,,7,,21,,154,,182,,,-,1,,3,,24,,51,,,
NEW JERSEY,2014,28,,-,43,,228,,874,,1960,,,-,1,,6,,28,,51,,,-,0,,2,,4,,10,,"NEW JERSEY
(40.13057159500045, -74.27368565099965)",
NEW YORK,2014,28,176,,49,,244,,972,,812,,2,,1,,5,,25,,26,,,-,0,,3,,5,,14,,"NEW YORK
(42.82700178100049, -75.54396639699968)",
NEW YORK CITY,2014,28,3,,4,,441,,486,,252,,3,,3,,13,,77,,68,,,-,0,,2,,8,,11,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
PENNSYLVANIA,2014,28,251,,61,,433,,2265,,2155,,,-,1,,4,,24,,37,,,-,0,,2,,7,,16,,"PENNSYLVANIA
(40.79373260300048, -77.86069775999965)",
E.N. CENTRAL,2014,28,4,,17,,199,,357,,1275,,,-,2,,8,,53,,76,,,-,1,,4,,27,,35,,,
ILLINOIS,2014,28,1,,1,,27,,55,,198,,,-,1,,5,,14,,37,,,-,0,,2,,8,,5,,"ILLINOIS
(40.48501433000047, -88.99770813999965)",
INDIANA,2014,28,,-,0,,9,,,-,74,,,-,0,,2,,4,,11,,,-,0,,1,,3,,11,,"INDIANA
(39.76691072200049, -86.14995579899966)",
MICHIGAN,2014,28,,-,2,,16,,21,,37,,,-,0,,2,,10,,10,,,-,0,,1,,6,,3,,"MICHIGAN
(44.66132176400049, -84.71438724399968)",
OHIO,2014,28,3,,1,,7,,29,,35,,,-,1,,3,,21,,12,,,-,0,,2,,6,,6,,"OHIO
(40.06021184000048, -82.40425685299965)",
WISCONSIN,2014,28,,-,13,,156,,252,,931,,,-,0,,2,,4,,6,,,-,0,,1,,4,,10,,"WISCONSIN
(44.393191877000504, -89.81636715299965)",
W.N. CENTRAL,2014,28,,-,7,,235,,66,,1194,,1,,1,,7,,30,,53,,,-,0,,3,,16,,28,,,
IOWA,2014,28,,-,1,,21,,49,,168,,,-,0,,2,,5,,4,,,-,0,,1,,1,,1,,"IOWA
(42.469401477000474, -93.81648936699969)",
KANSAS,2014,28,,-,0,,4,,4,,13,,,-,0,,2,,6,,5,,,-,0,,1,,1,,3,,"KANSAS
(38.3477418760005, -98.20077655499966)",
MINNESOTA,2014,28,,-,3,,206,,3,,998,,,-,0,,5,,2,,36,,,-,0,,2,,4,,9,,"MINNESOTA
(46.35564575300049, -94.79419697699967)",
MISSOURI,2014,28,,-,0,,1,,3,,,-,1,,0,,1,,9,,1,,,-,0,,2,,7,,6,,"MISSOURI
(38.63579079900046, -92.56629737199967)",
NEBRASKA,2014,28,,-,0,,3,,3,,1,,,-,0,,2,,1,,3,,,-,0,,1,,,-,3,,"NEBRASKA
(41.641041981000456, -99.36571864599966)",
NORTH DAKOTA,2014,28,,-,0,,6,,4,,12,,,-,0,,1,,5,,2,,,-,0,,1,,1,,2,,"NORTH DAKOTA
(47.47531892900048, -100.11842599699969)",
SOUTH DAKOTA,2014,28,,-,0,,1,,,-,2,,,-,0,,3,,2,,2,,,-,0,,1,,2,,4,,"SOUTH DAKOTA
(44.35313049600046, -100.37352811899967)",
S. ATLANTIC,2014,28,48,,46,,309,,866,,1372,,5,,7,,18,,211,,206,,1,,1,,6,,60,,62,,,
DELAWARE,2014,28,4,,8,,24,,188,,233,,,-,0,,1,,2,,5,,,-,0,,1,,1,,2,,"DELAWARE
(39.00883059000046, -75.57773943699965)",
DIST. OF COL.,2014,28,,N,0,,0,,,N,,N,,-,0,,2,,3,,11,,,-,0,,0,,,-,,-,"DIST. OF COL.
",
FLORIDA,2014,28,1,,2,,14,,36,,36,,2,,1,,3,,27,,30,,,-,1,,3,,27,,34,,"FLORIDA
(28.93204444200046, -81.92895558499964)",
GEORGIA,2014,28,,-,0,,3,,3,,4,,,-,1,,5,,39,,33,,1,,0,,2,,10,,7,,"GEORGIA
(32.83968158500045, -83.62757601199968)",
MARYLAND,2014,28,21,,14,,81,,311,,587,,3,,3,,10,,83,,72,,,-,0,,1,,4,,2,,"MARYLAND
(39.29058224000045, -76.60925970899967)",
NORTH CAROLINA,2014,28,,-,1,,27,,43,,49,,,-,0,,7,,19,,9,,,-,0,,3,,11,,9,,"NORTH CAROLINA
(35.46622096200048, -79.15924924699965)",
SOUTH CAROLINA,2014,28,,-,1,,5,,12,,10,,,-,0,,1,,2,,6,,,-,0,,1,,2,,2,,"SOUTH CAROLINA
(33.99882214300044, -81.04536765699964)",
VIRGINIA,2014,28,22,,14,,267,,253,,396,,,-,1,,5,,35,,39,,,-,0,,2,,5,,4,,"VIRGINIA
(37.542682294000485, -78.45788924199968)",
WEST VIRGINIA,2014,28,,-,1,,23,,20,,57,,,-,0,,1,,1,,1,,,-,0,,0,,,-,2,,"WEST VIRGINIA
(38.66551303900047, -80.71263935099967)",
E.S. CENTRAL,2014,28,2,,2,,9,,67,,27,,,-,1,,4,,24,,18,,,-,0,,2,,9,,8,,,
ALABAMA,2014,28,2,,0,,5,,27,,10,,,-,0,,1,,6,,2,,,-,0,,1,,3,,1,,"ALABAMA
(32.84057034900047, -86.63185803899967)",
KENTUCKY,2014,28,,-,1,,9,,26,,12,,,-,0,,2,,8,,6,,,-,0,,1,,2,,1,,"KENTUCKY
(37.645970985000474, -84.77496612599964)",
MISSISSIPPI,2014,28,,-,0,,0,,,-,,-,,-,0,,1,,1,,1,,,-,0,,1,,,-,3,,"MISSISSIPPI
(32.745512774000474, -89.53802764499966)",
TENNESSEE,2014,28,,-,0,,4,,14,,5,,,-,0,,3,,9,,9,,,-,0,,1,,4,,3,,"TENNESSEE
(35.68094014000047, -85.77448642199965)",
W.S. CENTRAL,2014,28,,-,1,,13,,7,,35,,,-,1,,21,,24,,51,,,-,1,,6,,26,,35,,,
ARKANSAS,2014,28,,-,0,,0,,,-,,-,,-,0,,1,,2,,1,,,-,0,,1,,1,,5,,"ARKANSAS
(34.74865329300047, -92.27448794899965)",
LOUISIANA,2014,28,,-,0,,1,,1,,,-,,-,0,,1,,2,,4,,,-,0,,2,,4,,8,,"LOUISIANA
(31.312664106000454, -92.44567554599968)",
OKLAHOMA,2014,28,,-,0,,2,,,-,1,,,-,0,,2,,1,,7,,,-,0,,2,,8,,5,,"OKLAHOMA
(35.472031425000466, -97.52106845499969)",
TEXAS,2014,28,,-,0,,11,,6,,34,,,-,1,,19,,19,,39,,,-,0,,5,,13,,17,,"TEXAS
(31.827240712000446, -99.4267664729997)",
MOUNTAIN,2014,28,,-,1,,9,,18,,37,,1,,1,,5,,21,,49,,,-,0,,2,,14,,28,,,
ARIZONA,2014,28,,-,0,,3,,4,,8,,,-,0,,3,,8,,21,,,-,0,,2,,3,,10,,"ARIZONA
(34.865970167000455, -111.76380949799972)",
COLORADO,2014,28,,-,0,,0,,,-,,-,,-,0,,3,,6,,17,,,-,0,,1,,1,,5,,"COLORADO
(38.84384201300048, -106.13360888799969)",
IDAHO,2014,28,,-,0,,2,,6,,9,,,-,0,,1,,1,,3,,,-,0,,1,,2,,4,,"IDAHO
(43.68263160000049, -114.3637261449997)",
MONTANA,2014,28,,-,0,,3,,3,,6,,1,,0,,0,,1,,,-,,-,0,,1,,3,,,-,"MONTANA
(47.06652759400049, -109.42441687999968)",
NEVADA,2014,28,,-,0,,1,,3,,3,,,-,0,,1,,4,,4,,,-,0,,1,,2,,1,,"NEVADA
(39.493242807000456, -117.07183978499972)",
NEW MEXICO,2014,28,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,2,,1,,"NEW MEXICO
(34.520884020000494, -106.24057768899968)",
UTAH,2014,28,,-,0,,2,,2,,10,,,-,0,,1,,1,,4,,,-,0,,1,,1,,6,,"UTAH
(39.36070082200047, -111.5871285339997)",
WYOMING,2014,28,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,"WYOMING
(43.235543013000495, -108.10982744299969)",
PACIFIC,2014,28,1,,2,,10,,45,,86,,1,,3,,9,,52,,61,,,-,2,,7,,59,,83,,,
ALASKA,2014,28,,-,0,,2,,8,,5,,,-,0,,1,,1,,2,,,-,0,,0,,,-,,-,"ALASKA
(64.84507631500048, -147.72205669099972)",
CALIFORNIA,2014,28,,-,0,,8,,4,,56,,,-,2,,5,,28,,45,,,-,1,,5,,38,,66,,"CALIFORNIA
(37.63864203100047, -120.99999889499969)",
HAWAII,2014,28,,N,0,,0,,,N,,N,,-,0,,0,,,-,1,,,-,0,,1,,1,,1,,"HAWAII
(21.304853205000427, -157.85774691599974)",
OREGON,2014,28,1,,1,,4,,33,,20,,,-,0,,1,,7,,5,,,-,0,,3,,12,,8,,"OREGON
(44.56745218600048, -120.15502977999972)",
WASHINGTON,2014,28,,-,0,,4,,,-,5,,1,,0,,3,,16,,8,,,-,0,,5,,8,,8,,"WASHINGTON
(47.5222894470005, -120.47002746299972)",
AMER. SAMOA,2014,28,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2014,28,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
GUAM,2014,28,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,1,,"GUAM
(13.480998894000436, 144.73149801400064)",
PUERTO RICO,2014,28,,N,0,,0,,,N,,N,,-,0,,1,,1,,,-,,-,0,,1,,1,,1,,"PUERTO RICO
(18.24828934900046, -66.49988980099965)",
VIRGIN ISL.,2014,28,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
UNITED STATES,2014,29,439,,411,,2486,,9477,,17775,,34,,25,,51,,656,,809,,,-,8,,24,,248,,352,,,
NEW ENGLAND,2014,29,45,,117,,998,,2610,,7082,,3,,1,,8,,36,,68,,,-,0,,3,,10,,14,,,
CONNECTICUT,2014,29,,-,24,,252,,565,,1818,,,-,0,,1,,,-,16,,,-,0,,1,,1,,2,,"CONNECTICUT
(41.56266101800048, -72.64983753699966)",
MAINE,2014,29,2,,14,,102,,246,,500,,,-,0,,2,,4,,3,,,-,0,,1,,,-,2,,"MAINE
(45.2542257390005, -68.98502952999962)",
MASSACHUSETTS,2014,29,9,,53,,411,,1325,,3201,,,-,1,,4,,24,,40,,,-,0,,3,,8,,4,,"MASSACHUSETTS
(42.27687014100047, -72.08268985899963)",
NEW HAMPSHIRE,2014,29,,-,5,,157,,83,,1039,,,-,0,,2,,2,,6,,,-,0,,0,,,-,2,,"NEW HAMPSHIRE
(43.65595081000049, -71.50035726399966)",
RHODE ISLAND,2014,29,30,,9,,54,,219,,228,,3,,0,,8,,6,,,-,,-,0,,1,,1,,1,,"RHODE ISLAND
(41.708284362000484, -71.52246918099962)",
VERMONT,2014,29,4,,10,,103,,172,,296,,,-,0,,1,,,-,3,,,-,0,,1,,,-,3,,"VERMONT
(43.62538000100045, -72.51763944499965)",
MID. ATLANTIC,2014,29,340,,179,,907,,5211,,6086,,12,,8,,21,,171,,193,,,-,1,,3,,24,,51,,,
NEW JERSEY,2014,29,,-,42,,228,,874,,2188,,,-,1,,6,,32,,54,,,-,0,,2,,4,,10,,"NEW JERSEY
(40.13057159500045, -74.27368565099965)",
NEW YORK,2014,29,147,,49,,244,,1122,,1008,,2,,1,,5,,27,,27,,,-,0,,3,,5,,14,,"NEW YORK
(42.82700178100049, -75.54396639699968)",
NEW YORK CITY,2014,29,3,,4,,441,,489,,302,,9,,3,,13,,86,,73,,,-,0,,2,,8,,11,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
PENNSYLVANIA,2014,29,190,,61,,433,,2726,,2588,,1,,1,,4,,26,,39,,,-,0,,2,,7,,16,,"PENNSYLVANIA
(40.79373260300048, -77.86069775999965)",
E.N. CENTRAL,2014,29,2,,19,,199,,451,,1474,,3,,2,,8,,58,,82,,,-,1,,4,,28,,37,,,
ILLINOIS,2014,29,,-,1,,27,,58,,218,,,-,1,,5,,16,,40,,,-,0,,2,,9,,6,,"ILLINOIS
(40.48501433000047, -88.99770813999965)",
INDIANA,2014,29,,-,0,,7,,,-,81,,,-,0,,2,,4,,11,,,-,0,,1,,3,,12,,"INDIANA
(39.76691072200049, -86.14995579899966)",
MICHIGAN,2014,29,1,,2,,16,,29,,46,,,-,0,,2,,10,,11,,,-,0,,1,,6,,3,,"MICHIGAN
(44.66132176400049, -84.71438724399968)",
OHIO,2014,29,,-,1,,7,,31,,42,,3,,1,,3,,24,,14,,,-,0,,2,,6,,6,,"OHIO
(40.06021184000048, -82.40425685299965)",
